"ct","med","ciL","ciU","group"
2,5.94221042869344e-28,8.78612823029788e-34,4.31458083138454e-23,"pAll"
3,3.97017034745659e-19,5.37468989624898e-23,6.97893543169996e-16,"pAll"
4,5.72215864128007e-14,1.07597953872218e-16,1.14856707843301e-11,"pAll"
5,1.39427084930943e-10,1.44337111064163e-12,6.56017500743738e-09,"pAll"
6,3.35242654698767e-08,1.14982121151352e-09,5.65553911376223e-07,"pAll"
7,1.85955783655815e-06,1.52194466472518e-07,1.46572114072916e-05,"pAll"
8,3.86219905608584e-05,6.02550005705656e-06,0.000175439073463603,"pAll"
9,0.000397288520525787,0.00010182984083085,0.00119424133138625,"pAll"
10,0.0024355887844196,0.000922634700470822,0.00542123726418926,"pAll"
11,0.0101562845336637,0.00514369985769349,0.0177547788879093,"pAll"
12,0.0313593978580237,0.0197274236300492,0.0458530356564964,"pAll"
13,0.0761690830042107,0.0564471984584927,0.0971065514550115,"pAll"
14,0.152667889351859,0.12773708043044,0.177177386851628,"pAll"
15,0.262609772766521,0.23699420219844,0.288155992330359,"pAll"
16,0.397776291872294,0.36615586398782,0.431928340731747,"pAll"
17,0.543316792486832,0.496575631521087,0.598329069860541,"pAll"
18,0.680440964287655,0.616875848733895,0.760744548871745,"pAll"
19,0.794459382340429,0.717650537016267,0.888927016458065,"pAll"
20,0.873704801210943,0.791683984497588,0.969132434229218,"pAll"
21,0.913205183109955,0.837034387422493,0.995010926345348,"pAll"
22,0.914207011984637,0.852746234863862,0.976320697516016,"pAll"
23,0.882109537788172,0.836173710913431,0.927980379730072,"pAll"
24,0.82593504966169,0.776484284930669,0.869378725673091,"pAll"
25,0.75392089642137,0.680702662271786,0.808788602329508,"pAll"
26,0.672312193969779,0.575153680475147,0.746318696192372,"pAll"
27,0.588308222483084,0.473865348043739,0.67953474077958,"pAll"
28,0.5068701877546,0.384058887733831,0.611181888913545,"pAll"
29,0.433769109431368,0.312962141526133,0.546556224768062,"pAll"
30,0.379497355251951,0.270482358407425,0.49154859326185,"pAll"
31,0.363712397256032,0.279787285674752,0.460472339546719,"pAll"
32,0.415086445258255,0.355285882155153,0.487901400404237,"pAll"
33,0.567961574482138,0.512370417193472,0.625929108902489,"pAll"
34,0.840255253031159,0.761141094492826,0.923844768051124,"pAll"
35,1.21703905306949,1.1147544599486,1.32086938107452,"pAll"
36,1.6355704132354,1.52402063359228,1.74563927941245,"pAll"
37,2.00014140940367,1.89163745796994,2.11198992945547,"pAll"
38,2.21778841466962,2.10656835004519,2.33590137530871,"pAll"
39,2.23704670387628,2.12457110851942,2.35685221590534,"pAll"
40,2.06082776275972,1.95763877675999,2.17447946135223,"pAll"
41,1.71438501645615,1.62506296719203,1.80709295080443,"pAll"
42,1.34157642883949,1.26149318114209,1.42205565425415,"pAll"
43,0.975258142253241,0.898740314400025,1.04873297544968,"pAll"
44,0.661412329799843,0.590916112777771,0.729806232711494,"pAll"
45,0.420709911729415,0.36017569639571,0.481798391772822,"pAll"
